Date,Codeforces,HDOJ,Local,Luogu,Nowcoder,Total
2026-01-27,1,0,0,2,6,9
2026-01-28,4,0,0,0,0,4
2026-01-29,8,0,0,0,0,8
2026-01-30,0,0,0,0,6,6
2026-02-01,0,0,0,0,6,6
2026-02-02,1,0,0,0,0,1
2026-02-03,0,0,0,0,8,8
2026-02-04,0,0,0,0,1,1
2026-02-05,0,0,0,0,6,6
2026-02-07,0,0,0,0,8,8
2026-02-09,0,0,0,0,7,7
2026-02-11,0,0,0,0,7,7
2026-02-15,0,0,0,0,6,6
2026-02-18,0,0,0,0,2,2
2026-02-22,4,0,0,0,0,4
2026-02-24,5,0,0,0,0,5
2026-03-01,9,0,0,0,0,9
2026-03-08,1,0,0,0,0,1
2026-03-09,1,0,0,0,0,1
2026-03-11,1,0,0,0,0,1
2026-03-13,1,3,0,0,0,4
2026-03-16,3,0,0,0,0,3
2026-03-17,1,0,0,0,0,1
2026-03-18,0,0,0,0,1,1
2026-03-19,0,0,1,1,0,2
2026-03-21,4,3,0,2,0,9
2026-03-22,1,0,0,0,0,1
2026-03-23,0,0,0,0,1,1
2026-03-27,0,2,0,1,0,3
2026-03-28,3,0,0,0,0,3
2026-03-29,5,0,0,0,0,5
2026-03-30,1,0,0,0,0,1
2026-03-31,0,1,0,0,0,1
